사고지역관리번호,사고년도,사고유형구분,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,,
2013097,2012,보행어린이,26710001,부산광역시 기장군1,부산광역시 기장군 기장읍(이진할인마트 부근),4,4,0,1,3,0,35.23789032,129.2108993,,
2013097,2012,보행어린이,27230001,대구광역시 북구1,대구광역시 북구 읍내동(개미카부분정비 부근),3,3,0,1,1,1,35.94547299,128.5502965,,
2013097,2012,보행어린이,27230002,대구광역시 북구2,대구광역시 북구 대현동(도원식품 부근),4,4,0,2,2,0,35.8839509,128.608387,,
2013097,2012,보행어린이,27230003,대구광역시 북구3,대구광역시 북구 동천동(칠곡2차보성서한타운 부근),4,5,0,3,2,0,35.93255676,128.5581853,,
2013097,2012,보행어린이,27260001,대구광역시 수성구1,대구광역시 수성구 수성동4가(수성보성타운 부근),3,3,0,1,2,0,35.86238404,128.6147963,,
2013097,2012,보행어린이,27260002,대구광역시 수성구2,대구광역시 수성구 범어동(수한마루입시학원 부근),3,3,0,2,1,0,35.85496619,128.6386804,,
2013097,2012,보행어린이,27260003,대구광역시 수성구3,대구광역시 수성구 사월동(사월보성2차앞 부근),3,4,0,2,2,0,35.84073685,128.714093,,
2013097,2012,보행어린이,27260004,대구광역시 수성구4,대구광역시 수성구 지산동(범어네거리서편 부근),5,6,1,1,4,0,35.8238341,128.6347907,,
2013097,2012,보행어린이,27290001,대구광역시 달서구1,대구광역시 달서구 진천동(월배지구대 부근),3,4,0,0,2,2,35.81507605,128.5274399,,
2013097,2012,보행어린이,27290002,대구광역시 달서구2,대구광역시 달서구 본동(세강병원북편 부근),3,3,0,0,3,0,35.83890207,128.5531748,,
2013097,2012,보행어린이,27290003,대구광역시 달서구3,대구광역시 달서구 이곡동(성서우방동편 부근),3,3,0,0,3,0,35.8550703,128.5098754,,
2013097,2012,보행어린이,27290004,대구광역시 달서구4,대구광역시 달서구 감삼동(원화여고 부근),3,3,0,1,2,0,35.85023031,128.5453277,,
2013097,2012,보행어린이,27290005,대구광역시 달서구5,대구광역시 달서구 월성동(월성주공4단지 부근),4,4,0,1,3,0,35.8342667,128.5320393,,
